adres_city,adres_district_id,adres_district_title,adres_home,adres_index,adres_region_id,adres_region_title,adres_street,title,yandekskart_center_0,yandekskart_center_1,yandekskart_point_0,yandekskart_point_1
Краснодар,4,"Карасунский Округ",47,350000,86,"пос. Новознаменский",Андреевская,"Спортивная площадка в Поселке Знаменский, ул. Андреевская, 47",45.05777200001933,39.12917599999996,45.057772,39.129176
Краснодар,4,"Карасунский Округ",20,350000,62,ГМР,Гидростроителей,"Спортивная площадка на ул. Гидростроителей, 20 (СОШ №46)",45.002091,39.074182,45.002091,39.074182
Краснодар,4,"Карасунский Округ",22,350000,62,ГМР,Благоева,"Спортивная площадка на ул. Благоева, 22 (гимназия №69)",45.008464,39.077308,45.008464,39.077308 
Краснодар,4,"Карасунский Округ",40,350000,62,ГМР,Благоева,"Спортивная площадка на ул. Благоева, 40",45.003869,39.081153,45.003869,39.081153
Краснодар,4,"Карасунский Округ",169,350000,69,КМР,Сормовская,"Спортивная площадка на ул. Сормовская, 169 (СОШ №37)",45.034076,39.09301,45.034076,39.09301 
Краснодар,4,"Карасунский Округ",167,350000,108,ЧМР,Стасова,"Спортивная площадка на ул. Стасова, 167 (СОШ №49)",45.021137,39.040674,45.021137,39.040674 
Краснодар,3,"Прикубанский Округ",1,350000,77,"пос. Индустриальный","2-я Школьная","Спортивная площадка в пос. Лорис, ул. 2-я Школьная, 1 (СОШ №74)",45.087759,39.119753,45.087759,39.119753 
Краснодар,4,"Карасунский Округ",372,350000,76,ПМР,Бершанская,"Спортивная площадка на ул. Бершанская, 372 (СОШ №7)",45.030012,39.115046,45.030012,39.115046
Краснодар,2,"Центральный Округ",21,350000,108,ЧМР,"1-ый проезд Артельный","Спортивная площадка на 1-ый проезд Артельный, 21",45.013116,39.026831,45.013116,39.026831
Краснодар,4,"Карасунский Округ",168,350000,108,ЧМР,Стасова,"Спортивная площадка на ул. Стасова, 168",45.015696,39.042022,45.015696,39.042022 
Краснодар,2,"Центральный Округ",2,350000,107,ЦМР,Красноармейская,"Спортивная площадка на ул. Красноармейская, 2 (СОШ №48)",45.01518,38.970031,45.01518,38.970031 
Краснодар,2,"Центральный Округ",1,350000,108,ЧМР,Вишнякова,"Спортивная площадка на ул. Вишнякова, 1/6",45.010044,38.991447,45.010044,38.991447
Краснодар,2,"Центральный Округ",70,350000,108,ЧМР,Майкопская,"Спортивная площадка на ул. Майкопская, 70 (СОШ №43)",45.011605,39.023094,45.011605,39.023094 
Краснодар,2,"Центральный Округ",161,350000,107,ЦМР,"территории КГУФКСиТ  Буденного","Спортивная площадка на территории КГУФКСиТ ул. Буденного, 161",45.035725,38.982077,45.035725,38.982077 
Краснодар,2,"Центральный Округ",65,350000,107,ЦМР,Бургасская,"Спортивная площадка на ул. Бургасская, 65 (СОШ №6)",45.011586,39.040207,45.011586,39.040207 
Краснодар,1,"Западный Округ",51,350000,103,ФМР,Свободы,"Спортивная площадка на ул. Свободы, 51 (СОШ №22)",45.067544,38.97993,45.067544,38.97993 
Краснодар,3,"Прикубанский Округ",74,350000,95,СМР,Темрюкская,"Спортивная площадка на ул. Темрюкская, 74",45.064775,38.921845,45.064775,38.921845 
Краснодар,3,"Прикубанский Округ",40,350000,103,ФМР,Яна-Полуяна,"Спортивная площадка на ул. Яна-Полуяна, 40 (СОШ №42)",45.061783,38.95529,45.061783,38.95529 
Краснодар,3,"Прикубанский Округ",93,350000,68,ККБ,"1 мая","Спортивная площадка на ул.1 мая, 93 (СОШ №93)",45.052927,39.02234,45.052927,39.02234 
Краснодар,3,"Прикубанский Округ",221,350000,103,ФМР,Воровского,"Спортивная площадка на ул. Воровского, 221 (гимназия №18)",45.055155,38.954346,45.055155,38.954346 
Краснодар,3,"Прикубанский Округ",36,350000,65,ЗИП,Тепличная,"Спортивная площадка на ул. Тепличная, 36",45.109086,39.014066,45.109086,39.014066 
Краснодар,3,"Прикубанский Округ",8,350000,65,ЗИП,Карякина,"Спортивная площадка на ул. Карякина, 8 (СОШ №71)",45.064686,39.005263,45.064686,39.005263 
Краснодар,3,"Прикубанский Округ",26,350000,56,"9 км",Гастелло,"Спортивная площадка на ул. Гастелло, 26 (СОШ № 17)",45.078945,38.982958,45.078945,38.982958 
Краснодар,1,"Западный Округ",565,354000,107,ЦМР,"Красных Партизан","Спортивная площадка на ул. Красных Партизан, 565",45.049373,38.974783,45.049373,38.974783 
Краснодар,1,"Западный Округ",19,350000,111,ЮМР,"Рождественская Набережная","Спортивная площадка на ул. Рождественская Набережная, 19",45.028445,38.914156,45.028445,38.914156 
Краснодар,1,"Западный Округ",6,350000,111,ЮМР,"70-лет Октября","Спортивная площадка на ул. 70-лет Октября, 6",45.029266,38.90422,45.029266,38.90422 
Краснодар,1,"Западный Округ",6,350000,111,ЮМР,"70-лет Октября","Спортивная площадка на ул. Энгельса, 57 (СОШ №41)",45.029266,38.90422,45.029266,38.90422 
Краснодар,1,"Западный Округ",147,350000,103,ФМР,Рылеева,"Спортивная площадка на ул. Рылеева, 147 (СОШ №29)",45.048539,38.954921,45.048539,38.954921 
Краснодар,1,"Западный Округ",126,350000,70,Кожзавод,Минская,"Спортивная площадка на ул. Минская, 126 (СОШ №55)",45.039133,38.935221,45.039133,38.935221 
Краснодар,1,"Западный Округ",1,350000,111,ЮМР,"Рождественская набережная","Спортивная площадка на ул. Рождественская Набережная, 1",45.024138,38.904328,45.024138,38.904328 
Краснодар,1,"Западный Округ",3,350000,111,ЮМР,"Бульвар Платановый","Спортивная площадка на ул. Бульвар Платановый, 3 (гимназия №87)",45.035407,38.910625,45.035407,38.910625 
Краснодар,1,"Западный Округ",30,350000,111,ЮМР,"70-лет Октября","Спортивная площадка на ул. 70-лет Октября, 30 (СОШ №89)",45.037133,38.91058,45.037133,38.91058 
Краснодар,1,"Западный Округ",24,350000,60,Аврора,Дзержинского,"Спортивная площадка на ул. Дзержинского, 24 (гимназия №54)",45.061051,38.977712,45.061051,38.977712 
Краснодар,1,"Западный Округ" ,350000,111,ЮМР,"Проспект Чекистов","Спортивная площадка на Проспект Чекистов, 18 (СОШ №101)",45.028464,38.910203,45.028464,38.910203 
Краснодар,1,"Западный Округ",144,350000,107,ЦМР,Береговая,"Спортивная площадка на ул. Береговая, 144 (скейт парк)",45.016416,38.955945,45.016416,38.955945 
Краснодар,1,"Западный Округ",1,350000,103,ФМР,Лузана,"Спортивная площадка на ул. Лузана, 1 (СОШ №33)",45.069378,38.974244,45.069378,38.974244 
Краснодар,1,"Западный Округ",100,350000,103,ФМР,Котовского,"Спортивная площадка на ул. Котовского, 100 (СОШ №5)",45.055677,38.964785,45.055677,38.964785 
Краснодар,1,"Западный Округ",10,350000,111,ЮМР,"70 лет Октября","Спортивная площадка на ул. 70 лет Октября, 10/1",45.029088,38.902549,45.029088,38.902549
Краснодар,3,"Прикубанский Округ",48,350000,68,ККБ,Восточно-Кругликовская,"Спортивная площадка на ул. Восточно-Кругликовская, 48/6",45.059873,39.027137,45.059873,39.027137
Краснодар,3,"Прикубанский Округ",17,350000,78,"пос. Белозерный",Белозерный,"Спортивная площадка на ул. Белозерный, 17/1",45.0692,38.721979,45.0692,38.721979
Краснодар,2,"Центральный Округ",1,350000,108,ЧМР,Вишняковой,"Спортивная площадка на ул. Вишняковой, 1/6",45.010044,38.991447,45.010044,38.991447
Краснодар,4,"Карасунский Округ",31,350000,62,ГМР,Игнатова,"Спортивная площадка на ул. Игнатова, 31/1",45.010318,39.074352,45.010318,39.074352
Краснодар,3,"Прикубанский Округ",43,350000,68,ККБ,Коллективная,"Спортивная площадка на ул. Коллективная, 43/1",45.053493,39.006296,45.053493,39.006296
Краснодар,2,"Центральный Округ",24,350000,100,Табачка,Колхозная,"Спортивная площадка на ул. Колхозная, 24/1",45.047883,38.992947,45.047883,38.992947
Краснодар,2,"Центральный Округ",198,350000,107,ЦМР,Красная,"Спортивная площадка на ул. Красная, 198/4",45.054792,38.982491,45.054792,38.982491
Краснодар,1,"Западный Округ",11,350000,60,Аврора,Свободы,"Спортивная площадка на ул. Свободы, 11/1",45.067742,38.979194,45.067742,38.979194
Краснодар,4,"Карасунский Округ" ,189,350000,69,КМР,Сормовская,"Спортивная площадка на ул. Сормовская, 189/4",45.040349,39.108183,45.040349,39.108183
Краснодар,2,"Центральный Округ",80,350000,108,ЧМР,Ставропольская,"Спортивная площадка на ул. Ставропольская, 80/1",53.219603,50.226326,53.219603,50.226326
Краснодар,2,"Центральный Округ",145,350000,108,ЧМР,Стасова,"Спортивная площадка на ул. Стасова, 145/2",45.014613,39.038797,45.014613,39.038797
Краснодар,2,"Центральный Округ",8,350000,108,ЧМР,Тюляева,"Спортивная площадка на ул. Тюляева, 8",45.035783,39.099496,45.035783,39.099496 
Краснодар,4,"Карасунский Округ",174,350000,69,КМР,Уральская,"Спортивная площадка на ул. Уральская, 174/2",45.040298,39.100314,45.040298,39.100314
Краснодар,4,"Карасунский Округ",421,350000,76,ПМР,Фадеева,"Спортивная площадка на ул. Фадеева, 421/1",45.031082,39.126086,45.031082,39.126086
Краснодар,1,"Западный Округ",144,350000,107,ЦМР,Береговая,"Спортивная площадка на ул. Береговая 144 (Скейт-площадка)",45.016416,38.955945,45.016416,38.955945 
Краснодар,3,"Прикубанский Округ",77,350000,65,ЗИП,Российская,"Спортивная площадка на ул. Российская, 77/2",45.057454,39.016707,45.057454,39.016707
Краснодар,4,"Карасунский Округ",49,350000,62,ГМР,Гидростроителей,"Спортивная площадка на ул. Гидростроителей, 49/2",45.00422,39.079832,45.00422,39.079832
Краснодар,2,"Центральный Округ",23,350000,108,ЧМР,"1-й Артельный проезд","Спортивная площадка на 1-й Артельный проезд, 23 ",45.013785,39.027254,45.013785,39.027254 
Краснодар,4,"Карасунский Округ",47,350000,81,"пос. Знаменский",Андреевская,"Спортивная площадка в пос. Знаменский, ул. Андреевская, 47",45.057772,39.129176,45.057772,39.129176 
Краснодар,3,"Прикубанский Округ",350000,96,"ст. Елизаветинская",Красная/Упорная,"Спортивная площадка в ст. Елизаветинская ул. Красная/Упорная",45.059733,38.885194,45.059733,38.885194 
